"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"1","chr2L",48355,48682,328,"*","ENCFF515LPH_peak_1",179,".",8.36941,20.6173,17.9806,56,"chr2L",48358,48690,"ENCFF708WHR_peak_1",234,".",9.61803,26.377,23.4349,282,324,"Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6135,"26067564","lncRNA:CR46254","long non-coding RNA:CR46254"
"2","chr2L",276774,277609,836,"*","ENCFF515LPH_peak_10",100,".",2.20082,12.3522,10.0714,622,"chr2L",277170,277579,"ENCFF708WHR_peak_4",55,".",2.0802,7.54618,5.52695,174,409,"Promoter (<=1kb)",1,277582,282167,4586,1,"FBgn0003444","FBtr0078129",0,"33196","smo","smoothened"
"3","chr2L",297646,298195,550,"*","ENCFF515LPH_peak_12",43,".",1.7838,6.20994,4.34985,419,"chr2L",297592,298133,"ENCFF708WHR_peak_5",41,".",2.01613,5.99018,4.10557,262,488,"Promoter (<=1kb)",1,297880,303934,6055,1,"FBgn0020622","FBtr0331205",0,"33203","Pi3K21B","Pi3K21B"
"4","chr2L",366170,367246,1077,"*","ENCFF515LPH_peak_16",48,".",2.20731,6.76598,4.84749,167,"chr2L",366557,366894,"ENCFF708WHR_peak_10",34,".",2.08069,5.24756,3.44138,114,337,"Distal Intergenic",1,355565,357874,2310,2,"FBgn0031250","FBtr0330651",-8296,"33207","Ent1","Equilibrative nucleoside transporter 1"
"5","chr2L",403854,404325,472,"*","ENCFF515LPH_peak_18",39,".",1.81145,5.74148,3.93003,234,"chr2L",403863,404417,"ENCFF708WHR_peak_11",35,".",1.90134,5.40782,3.57856,177,462,"Promoter (<=1kb)",1,404285,407969,3685,1,"FBgn0003278","FBtr0078054",0,"33210","Polr1B","RNA polymerase I subunit B"
"6","chr2L",414637,415240,604,"*","ENCFF515LPH_peak_19",99,".",2.20461,12.1797,9.9068,162,"chr2L",414634,415197,"ENCFF708WHR_peak_12",83,".",2.38047,10.5844,8.36259,378,561,"Promoter (<=1kb)",1,415067,418536,3470,1,"FBgn0263933","FBtr0078055",0,"33212","ebi","ebi"
"7","chr2L",684037,685178,1142,"*","ENCFF515LPH_peak_32",31,".",1.74254,4.88964,3.19169,421,"chr2L",683871,684867,"ENCFF708WHR_peak_16",48,".",2.00318,6.78011,4.82296,454,831,"Intron (FBtr0078045/FBgn0284247, intron 2 of 11)",1,710568,715307,4740,1,"FBgn0266323","FBtr0344054",-25390,"19836079","lncRNA:CR44988","long non-coding RNA:CR44988"
"8","chr2L",696140,697266,1127,"*","ENCFF515LPH_peak_34",70,".",2.22681,9.10904,7.0088,576,"chr2L",696189,696874,"ENCFF708WHR_peak_19",44,".",2.12468,6.37968,4.45591,419,685,"Intron (FBtr0078045/FBgn0284247, intron 2 of 11)",1,710568,715307,4740,1,"FBgn0266323","FBtr0344054",-13302,"19836079","lncRNA:CR44988","long non-coding RNA:CR44988"
"9","chr2L",819490,819915,426,"*","ENCFF515LPH_peak_37",35,".",1.53344,5.32135,3.566,217,"chr2L",819462,820001,"ENCFF708WHR_peak_22",78,".",2.00541,10.0084,7.82314,401,426,"Promoter (<=1kb)",1,818079,819508,1430,2,"FBgn0031284","FBtr0078039",0,"33258","PGAP2","Post-GPI attachment to proteins 2"
"10","chr2L",848418,848753,336,"*","ENCFF515LPH_peak_38",26,".",1.5322,4.29079,2.68916,280,"chr2L",848458,848892,"ENCFF708WHR_peak_23",39,".",1.84358,5.79367,3.92702,280,295,"Promoter (1-2kb)",1,850702,851163,462,1,"FBgn0264869","FBtr0334793",-1949,"14462656","lncRNA:CR44060","long non-coding RNA:CR44060"
"11","chr2L",976400,976898,499,"*","ENCFF515LPH_peak_44",56,".",2.18179,7.68384,5.68651,263,"chr2L",976419,976852,"ENCFF708WHR_peak_27",57,".",2.35383,7.74517,5.71226,268,433,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0343253",14402,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"12","chr2L",984720,987149,2430,"*","ENCFF515LPH_peak_45",67,".",2.04072,8.87751,6.79623,1388,"chr2L",984777,985565,"ENCFF708WHR_peak_28",88,".",2.61207,11.0634,8.8165,224,788,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0343253",4151,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"13","chr2L",984720,987149,2430,"*","ENCFF515LPH_peak_45",67,".",2.04072,8.87751,6.79623,1388,"chr2L",985628,986468,"ENCFF708WHR_peak_29",48,".",2.10471,6.85034,4.88824,272,840,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0343253",4151,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"14","chr2L",994204,994843,640,"*","ENCFF515LPH_peak_46",30,".",1.65773,4.70246,3.03137,47,"chr2L",994398,994739,"ENCFF708WHR_peak_30",48,".",2.04989,6.76039,4.80467,151,341,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0445830",-2904,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"15","chr2L",995174,996458,1285,"*","ENCFF515LPH_peak_47",68,".",2.09559,8.92295,6.839,302,"chr2L",995389,996283,"ENCFF708WHR_peak_31",59,".",2.29751,8.00894,5.95832,633,894,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0445830",-3874,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"16","chr2L",1007309,1008113,805,"*","ENCFF515LPH_peak_48",56,".",2.16084,7.64207,5.64782,351,"chr2L",1007257,1007585,"ENCFF708WHR_peak_32",25,".",1.84023,4.23313,2.55372,193,277,"Distal Intergenic",1,987807,991300,3494,2,"FBgn0266036","FBtr0445830",-16009,"19834880","lncRNA:CR44801","long non-coding RNA:CR44801"
"17","chr2L",1108009,1108498,490,"*","ENCFF515LPH_peak_56",90,".",1.90884,11.2434,9.01797,238,"chr2L",1108107,1108686,"ENCFF708WHR_peak_36",39,".",1.77565,5.82424,3.95457,136,391,"Promoter (<=1kb)",1,1103254,1108373,5120,2,"FBgn0261938","FBtr0332273",0,"33285","PolrMT","RNA polymerase mitochondrial"
